County,Stage,Percent
Kings,Unknown,3.3
Orange,Unknown,3.4
Orleans,Unknown,1.6
Oswego,Unknown,0.6
Otsego,Unknown,1.1
Putnam,Unknown,2.5
Rensselaer,Unknown,0.9
Rockland,Unknown,1.3
St. Lawrence,Unknown,1
Saratoga,Unknown,0.8
Schenectady,Unknown,2.3
New York,Unknown,3.6
Schoharie,Unknown,0.6
Schuyler,Unknown,1
Seneca,Unknown,0
Steuben,Unknown,1.2
Suffolk,Unknown,1.9
Sullivan,Unknown,3.5
Tioga,Unknown,2.4
Tompkins,Unknown,1
Ulster,Unknown,3.2
Warren,Unknown,2.3
Queens,Unknown,3
Washington,Unknown,1.8
Wayne,Unknown,1.5
Westchester,Unknown,2.9
Wyoming,Unknown,4
Yates,Unknown,0.9
Richmond,Unknown,2.8
Albany,Unknown,1.4
Allegany,Unknown,2.3
